"Numero dossard";"Numero participant";"Nom";"Prenom";"Rue";"Code Postal";"Ville";"Telephone"
"1";"1";"Phillippe";"Michel";"18 rue Robert Ier";"54000";"Nancy";"03040506"
"2";"2";"George";"Denis";"19 rue Richert";"54000";"Nancy";"03040506"
"3";"3";"Weasley";"Bob";"14 avenue Foch";"54000";"Nancy";"03040506"
"4";"4";"Pascal";"Dylan";"2 impasse du théatre";"54000";"Nancy";"03040506"
"5";"5";"Weasley";"Fred";"4 rue de la paix";"54000";"Nancy";"03040506"
"6";"6";"Fabien";"Amine";"11 rue Roussaux";"54000";"Nancy";"03040506"
"7";"7";"fleur";"Lucie";"23 rue Jean Monnet";"54000";"Nancy";"03040506"
"8";"8";"Arthaud";"Pierre";"78 impasse de la Brasserie";"54000";"Nancy";"03040506"
"9";"9";"McCrey";"Donald";"46 rue de la gare";"54000";"Nancy";"03040506"
"10";"10";"Weasley";"Ron";"56 avenue de Paris";"54000";"Nancy";"03040506"
"11";"11";"Wayne";"Bruce";"42 rue Jean Moulin";"54000";"Nancy";"03040506"
